2017-04-01 01:00:00,天津,中山北路,98,良,颗粒物(PM10),65,146,0.9,54,69,69,33
2017-04-01 02:00:00,天津,中山北路,109,轻度污染,细颗粒物(PM2.5),82,158,1.1,61,60,64,35
2017-04-01 03:00:00,天津,中山北路,127,轻度污染,细颗粒物(PM2.5),96,152,1.2,70,44,58,38
2017-04-01 04:00:00,天津,中山北路,140,轻度污染,细颗粒物(PM2.5),107,165,1.3,88,23,49,39
2017-04-01 06:00:00,天津,中山北路,169,中度污染,细颗粒物(PM2.5),128,160,1.6,98,8,36,32
2017-04-01 07:00:00,天津,中山北路,140,轻度污染,细颗粒物(PM2.5),107,127,1.0,101,10,32,21
2017-04-01 08:00:00,天津,中山北路,104,轻度污染,颗粒物(PM10)细颗粒物(PM2.5),78,158,1.5,93,17,30,32
2017-04-01 10:00:00,天津,中山北路,123,轻度污染,细颗粒物(PM2.5),93,146,1.5,69,53,25,39
2017-04-01 11:00:00,天津,中山北路,97,良,细颗粒物(PM2.5),72,87,1.1,48,78,29,24
2017-04-01 13:00:00,天津,中山北路,52,良,细颗粒物(PM2.5),36,47,0.8,30,102,50,17
2017-04-01 14:00:00,天津,中山北路,36,优,_,25,_,0.5,20,109,62,8
2017-04-01 15:00:00,天津,中山北路,37,优,_,23,26,0.4,18,118,76,8
2017-04-01 16:00:00,天津,中山北路,68,良,颗粒物(PM10),25,85,0.7,33,117,88,13
2017-04-01 18:00:00,天津,中山北路,95,良,颗粒物(PM10),69,140,1.1,59,108,105,19
2017-04-01 19:00:00,天津,中山北路,84,良,颗粒物(PM10),52,117,1.1,55,107,108,17
2017-04-01 20:00:00,天津,中山北路,84,良,颗粒物(PM10),53,118,1.1,58,98,109,19
2017-04-01 21:00:00,天津,中山北路,97,良,细颗粒物(PM2.5),72,120,1.0,66,88,107,18
2017-04-01 22:00:00,天津,中山北路,108,轻度污染,细颗粒物(PM2.5),81,84,0.9,58,89,104,16
2017-04-01 23:00:00,天津,中山北路,72,良,细颗粒物(PM2.5),52,70,0.8,55,80,100,12
2017-04-02 00:00:00,天津,中山北路,70,良,颗粒物(PM10),32,89,0.8,84,45,91,12
2017-04-02 01:00:00,天津,中山北路,80,良,颗粒物(PM10),42,109,1.0,114,15,15,15
2017-04-02 02:00:00,天津,中山北路,104,轻度污染,颗粒物(PM10),60,157,2.0,126,6,10,19
2017-04-02 04:00:00,天津,中山北路,118,轻度污染,细颗粒物(PM2.5),89,147,1.0,108,6,8,18
2017-04-02 05:00:00,天津,中山北路,114,轻度污染,细颗粒物(PM2.5),86,127,1.0,100,6,8,18
2017-04-02 06:00:00,天津,中山北路,138,轻度污染,细颗粒物(PM2.5),105,161,1.9,94,6,8,24
2017-04-02 07:00:00,天津,中山北路,152,中度污染,细颗粒物(PM2.5),116,187,2.0,97,7,7,27
2017-04-02 08:00:00,天津,中山北路,165,中度污染,细颗粒物(PM2.5),125,202,2.1,98,13,8,33
2017-04-02 09:00:00,天津,中山北路,168,中度污染,细颗粒物(PM2.5),127,212,2.1,93,22,9,40
2017-04-02 10:00:00,天津,中山北路,159,中度污染,细颗粒物(PM2.5),121,163,1.9,89,41,13,56
